"","X","surp_p_val","prev_surp_p_val","has_preview_condition","reread_condition","linear","additive_model","context","context_type"
"151",31,0.00016925504280485,0.117813287684143,"Hunting",1,"nonlinear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"152",32,0.000239573996249132,0.226736553082475,"Hunting",1,"nonlinear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"153",33,1.82519685349436e-05,0.178157216303768,"Hunting",1,"nonlinear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"154",34,0.00017155287707471,0.384364284733061,"Hunting",1,"nonlinear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"155",35,3.45547148039027e-05,0.274658976140161,"Hunting",1,"nonlinear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"156",36,1.62046730730059e-05,0.483478880274802,"Hunting",1,"nonlinear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"157",37,8.80380568113459e-07,0.631127191635689,"Hunting",1,"nonlinear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"158",38,3.23093336529467e-08,0.138510371529421,"Hunting",1,"nonlinear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"159",39,0.00665421661150056,0.0514603427390978,"Hunting",1,"nonlinear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"160",40,6.23302001789838e-07,0.498331291960176,"Hunting",1,"nonlinear",TRUE,"fillQfr-fillP-fillQ-P","control_context"
"161",1,0.0897477958253773,0.415169975798507,"Gathering",1,"linear",TRUE,"P-P","regime_context"
"162",2,0.054387859117476,0.750917935634273,"Gathering",1,"linear",TRUE,"P-P","regime_context"
"163",3,0.313016443179199,0.98557595798482,"Gathering",1,"linear",TRUE,"P-P","regime_context"
"164",4,0.337811172965928,0.572002931609082,"Gathering",1,"linear",TRUE,"P-P","regime_context"
"165",5,0.0513496694306136,0.647982913347348,"Gathering",1,"linear",TRUE,"P-P","regime_context"
"166",6,0.258383416618399,0.235579770035131,"Gathering",1,"linear",TRUE,"P-P","regime_context"
"167",7,0.0814525882383743,0.506858593539867,"Gathering",1,"linear",TRUE,"P-P","regime_context"
"168",8,0.0745870973482232,0.57128777265264,"Gathering",1,"linear",TRUE,"P-P","regime_context"
"169",9,0.208013217412346,0.25360234964466,"Gathering",1,"linear",TRUE,"P-P","regime_context"
"170",10,0.771175504689873,0.838626041287308,"Gathering",1,"linear",TRUE,"P-P","regime_context"
"171",11,0.303273775679059,0.237711857368802,"Gathering",1,"nonlinear",TRUE,"P-P","regime_context"
"172",12,0.783977083863835,0.066053484707523,"Gathering",1,"nonlinear",TRUE,"P-P","regime_context"
"173",13,0.478209740310452,0.00213881858980058,"Gathering",1,"nonlinear",TRUE,"P-P","regime_context"
"174",14,0.0589288014786836,0.00135250924708596,"Gathering",1,"nonlinear",TRUE,"P-P","regime_context"
"175",15,0.0772081843906436,0.570951420217802,"Gathering",1,"nonlinear",TRUE,"P-P","regime_context"
"176",16,0.366592854241248,0.107342275551817,"Gathering",1,"nonlinear",TRUE,"P-P","regime_context"
"177",17,0.404974297394514,1.81388441518604e-05,"Gathering",1,"nonlinear",TRUE,"P-P","regime_context"
"178",18,0.320593134521428,0.190200574577014,"Gathering",1,"nonlinear",TRUE,"P-P","regime_context"
"179",19,0.314328555787839,0.0622333827552314,"Gathering",1,"nonlinear",TRUE,"P-P","regime_context"
"180",20,0.0374253854494442,0.10261220491589,"Gathering",1,"nonlinear",TRUE,"P-P","regime_context"
"181",21,0.3711512415683,0.276580743955426,"Hunting",1,"linear",TRUE,"Qfr-P-Q-P","regime_context"
"182",22,0.947547808854736,0.000116315518899867,"Hunting",1,"linear",TRUE,"Qfr-P-Q-P","regime_context"
"183",23,0.228286012005197,0.0679780047825896,"Hunting",1,"linear",TRUE,"Qfr-P-Q-P","regime_context"
"184",24,0.885891751667064,0.00327008868798542,"Hunting",1,"linear",TRUE,"Qfr-P-Q-P","regime_context"
"185",25,0.477359437179141,0.411358267396694,"Hunting",1,"linear",TRUE,"Qfr-P-Q-P","regime_context"
"186",26,0.555650627525013,0.311694533000261,"Hunting",1,"linear",TRUE,"Qfr-P-Q-P","regime_context"
"187",27,0.0451141793097544,0.377264070258529,"Hunting",1,"linear",TRUE,"Qfr-P-Q-P","regime_context"
"188",28,0.962123983348721,0.12908387204844,"Hunting",1,"linear",TRUE,"Qfr-P-Q-P","regime_context"
"189",29,0.155096823670078,0.924876869933592,"Hunting",1,"linear",TRUE,"Qfr-P-Q-P","regime_context"
"190",30,0.512207191607044,0.0661254275718788,"Hunting",1,"linear",TRUE,"Qfr-P-Q-P","regime_context"
"191",31,0.868417321182282,0.270271545477357,"Hunting",1,"nonlinear",TRUE,"Qfr-P-Q-P","regime_context"
"192",32,0.306550061863332,0.343931078394742,"Hunting",1,"nonlinear",TRUE,"Qfr-P-Q-P","regime_context"
"193",33,0.259198345869964,0.247134999140606,"Hunting",1,"nonlinear",TRUE,"Qfr-P-Q-P","regime_context"
"194",34,0.281250028908904,0.911385490657719,"Hunting",1,"nonlinear",TRUE,"Qfr-P-Q-P","regime_context"
"195",35,0.211965136390603,0.48334446903104,"Hunting",1,"nonlinear",TRUE,"Qfr-P-Q-P","regime_context"
"196",36,0.0983372611897069,0.289069619042472,"Hunting",1,"nonlinear",TRUE,"Qfr-P-Q-P","regime_context"
"197",37,0.621588528511255,0.722456803852775,"Hunting",1,"nonlinear",TRUE,"Qfr-P-Q-P","regime_context"
"198",38,0.916595274840824,0.142189541293164,"Hunting",1,"nonlinear",TRUE,"Qfr-P-Q-P","regime_context"
"199",39,0.258389908308492,0.158554168195884,"Hunting",1,"nonlinear",TRUE,"Qfr-P-Q-P","regime_context"
"200",40,0.402577985213196,0.473366963834549,"Hunting",1,"nonlinear",TRUE,"Qfr-P-Q-P","regime_context"
