,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,regime_plot,exclude_RegimeRepeatedReading,only_RegimeRepeatedReading,Regular,filler_plot,corrected_surp_p_val,corrected_prev_surp_p_val
151,152,12,0.834754706760611,1.15231457348264e-06,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,1.15231457348264e-05
152,153,13,0.210076833501014,5.584437821754e-05,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,0.0005584437821754
153,154,14,0.352441941752162,0.0007951771566848,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,0.007951771566848
154,155,15,0.535166752056809,0.0016169669908834,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,0.016169669908834
155,156,16,0.2308210892739,3.09304657720721e-05,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,0.000309304657720721
156,157,17,0.53721648145273,1.84347512044436e-06,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,1.84347512044436e-05
157,158,18,0.460719988373178,0.0002335214355884,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,0.002335214355884
158,159,19,0.360909906588653,9.06348284701597e-07,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,9.06348284701597e-06
159,160,20,0.438649621952403,1.06360144092044e-06,Gathering,1,nonlinear,True,P-P,regime_context,1,0,1,1,0,1.0,1.06360144092044e-05
160,161,21,0.990753537460669,0.771445742397763,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
161,162,22,0.534593459343954,0.886557720962105,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
162,163,23,0.0368518916808334,0.922577961446718,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,0.36851891680833404,1.0
163,164,24,0.225001993020642,0.664529983861486,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
164,165,25,0.726962937211639,0.766037870584625,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
165,166,26,0.343358263654667,0.667197160462517,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
166,167,27,0.488910174246902,0.908736266204253,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
167,168,28,0.109217536935978,0.500354469875594,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
168,169,29,0.304096255977913,0.720740761750233,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
169,170,30,0.382224870993075,0.57148497018133,Hunting,1,linear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
170,171,31,0.0001303686845241,0.0243934286626222,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,0.001303686845241,0.243934286626222
171,172,32,0.175745010761036,0.335667137348644,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
172,173,33,0.650256708259664,0.350453771976472,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
173,174,34,0.0022074653862556,0.905870309792274,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,0.022074653862556,1.0
174,175,35,0.117335964587181,0.110361699334943,Hunting,1,nonlinear,True,Qfr-P-Q-P,regime_context,1,0,1,1,0,1.0,1.0
