,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,regime_plot,exclude_RegimeRepeatedReading,only_RegimeRepeatedReading,Regular,filler_plot,corrected_surp_p_val,corrected_prev_surp_p_val
134,135,35,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
135,136,36,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
136,137,37,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
137,138,38,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
138,139,39,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
139,140,40,0.0,0.0,Hunting,0,nonlinear,True,instFirstReadP-Q-P,prompt_regime_context,1,1,0,1,0,0.0,0.0
140,141,1,0.0411695581943424,0.696880159385402,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,0.411695581943424,1.0
141,142,2,0.0015467458779015,0.88253370240578,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,0.015467458779015,1.0
142,143,3,0.0226871486393006,0.713531720654765,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,0.226871486393006,1.0
143,144,4,0.282847048167884,0.803645042352611,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,1.0,1.0
144,145,5,0.006254282762812,0.271444405192163,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,0.06254282762812,1.0
145,146,6,0.0498667326183362,0.675345416789614,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,0.49866732618336196,1.0
146,147,7,0.0968145716277303,0.600162133891562,Gathering,1,linear,True,P-P,regime_context,1,0,1,1,0,0.9681457162773031,1.0
