"","X","has_preview_condition","reread_condition","linear","p_val","surp_column","model_id","model_family","model_size","model_size_milions","model_name_with_size","ppl"
"85",1,"Gathering",0,"nonlinear",0.001,"google-recurrentgemma-9b-Surprisal-Context-P","google-recurrentgemma-9b","Gemma","9B",9000,"9B Recurrent Gemma",11.7682075500488
"86",2,"Gathering",1,"nonlinear",0.008,"google-recurrentgemma-9b-Surprisal-Context-P","google-recurrentgemma-9b","Gemma","9B",9000,"9B Recurrent Gemma",11.7682075500488
"87",3,"Hunting",0,"nonlinear",0.009,"google-recurrentgemma-9b-Surprisal-Context-P","google-recurrentgemma-9b","Gemma","9B",9000,"9B Recurrent Gemma",11.7682075500488
"88",4,"Hunting",1,"nonlinear",0.019,"google-recurrentgemma-9b-Surprisal-Context-P","google-recurrentgemma-9b","Gemma","9B",9000,"9B Recurrent Gemma",11.7682075500488
"89",1,"Gathering",0,"nonlinear",0.575,"gpt2-Surprisal-Context-P","gpt2","GPT-2","117M",117,"117M GPT-2",28.2925548553467
"90",2,"Gathering",1,"nonlinear",0.771,"gpt2-Surprisal-Context-P","gpt2","GPT-2","117M",117,"117M GPT-2",28.2925548553467
"91",3,"Hunting",0,"nonlinear",0.09,"gpt2-Surprisal-Context-P","gpt2","GPT-2","117M",117,"117M GPT-2",28.2925548553467
"92",4,"Hunting",1,"nonlinear",0.307,"gpt2-Surprisal-Context-P","gpt2","GPT-2","117M",117,"117M GPT-2",28.2925548553467
"93",1,"Gathering",0,"nonlinear",0.502,"gpt2-large-Surprisal-Context-P","gpt2-large","GPT-2","774M",774,"774M GPT-2",18.7550048828125
"94",2,"Gathering",1,"nonlinear",0.985,"gpt2-large-Surprisal-Context-P","gpt2-large","GPT-2","774M",774,"774M GPT-2",18.7550048828125
"95",3,"Hunting",0,"nonlinear",0.053,"gpt2-large-Surprisal-Context-P","gpt2-large","GPT-2","774M",774,"774M GPT-2",18.7550048828125
"96",4,"Hunting",1,"nonlinear",0.541,"gpt2-large-Surprisal-Context-P","gpt2-large","GPT-2","774M",774,"774M GPT-2",18.7550048828125
"97",1,"Gathering",0,"nonlinear",0.262,"gpt2-medium-Surprisal-Context-P","gpt2-medium","GPT-2","345M",345,"345M GPT-2",21.3545570373535
"98",2,"Gathering",1,"nonlinear",0.439,"gpt2-medium-Surprisal-Context-P","gpt2-medium","GPT-2","345M",345,"345M GPT-2",21.3545570373535
"99",3,"Hunting",0,"nonlinear",0.067,"gpt2-medium-Surprisal-Context-P","gpt2-medium","GPT-2","345M",345,"345M GPT-2",21.3545570373535
"100",4,"Hunting",1,"nonlinear",0.212,"gpt2-medium-Surprisal-Context-P","gpt2-medium","GPT-2","345M",345,"345M GPT-2",21.3545570373535
